entry_id,text,stratum,assigned_themes,top_cluster,agree
e10cf47dcfd4,Added Opus 4.5! https://www.anthropic.com/news/claude-opus-4-5,high_confidence,Model Behavior & Inference Controls,12,""
9f4687999537,Fixed a regression where search tools unnecessarily asked for permissions,high_confidence,Permission & Security Boundaries,21,""
8759925f855d,"Fixed `claude mcp list` silently reporting no servers when `.mcp.json` can't be parsed (e.g. using VS Code's `""servers""` key instead of `""mcpServers""`) — now shows configuration errors",high_confidence,"External Connectivity: MCP Servers, Providers & Network Reliability; Configuration as a Layered Policy Hierarchy",6,""
8cd54d951b3c,Renamed /allowed-tools -> /permissions,high_confidence,Permission & Security Boundaries; UI Navigation & Command Surfaces,21,""
eb0272f3c897,Headless `--output-format stream-json`: `init.plugin_errors` now includes `--plugin-dir` load failures in addition to dependency demotions,high_confidence,"Extensibility Ecosystem: Plugins, Skills & Hooks; Resource Monitoring, Observability & Performance",22,""
1071c5d328bb,"Fixed unauthorized claude.ai MCP connectors showing as ""failed"" instead of ""needs auth"", and headless `-p` mode retrying non-transient 4xx connection failures",high_confidence,"External Connectivity: MCP Servers, Providers & Network Reliability; Permission & Security Boundaries",6,""
9d0d827bab19,"`--dangerously-skip-permissions` no longer prompts for writes to `.claude/skills/`, `.claude/agents/`, and `.claude/commands/`",high_confidence,Permission & Security Boundaries,21,""
7a2b97aa2e12,Fixed `thinking.type.enabled is not supported` 400 error when using Opus 4.7 via a Bedrock Application Inference Profile ARN,high_confidence,Model Behavior & Inference Controls,12,""
7ed7fe06509e,"Added `sandbox.failIfUnavailable` setting to exit with an error when sandbox is enabled but cannot start, instead of running unsandboxed",high_confidence,Permission & Security Boundaries,21,""
f4e6f7b654fe,Bedrock: Updated default Sonnet model to Sonnet 4,high_confidence,"Model Behavior & Inference Controls; External Connectivity: MCP Servers, Providers & Network Reliability",12,""
c74628547693,Fixed hooks receiving a non-existent `transcript_path` after `EnterWorktree` switches the working directory,provisional_match,"Workspace Isolation & File-System Operations; Extensibility Ecosystem: Plugins, Skills & Hooks",0,""
7289a41fe8a3,Reduced baseline memory by ~16MB by deferring Yoga WASM preloading,provisional_match,"Resource Monitoring, Observability & Performance; Terminal Rendering & Display",20,""
1ba124069ef1,"Fixed slash command autocomplete selecting wrong command when typing similar commands (e.g., `/context` vs `/compact`)",provisional_match,UI Navigation & Command Surfaces,30,""
9f657db9a05c,Fixed cache-miss warning appearing spuriously after `/clear` or compaction when changing `/effort` or `/model`,provisional_match,"Context Window as a Finite, Managed Resource; Model Behavior & Inference Controls",16,""
7f0373b3ee11,Improved stale worktree cleanup — worktrees left behind after an interrupted parallel run are now automatically cleaned up,provisional_match,Workspace Isolation & File-System Operations; Multi-Agent Orchestration & Task Lifecycle,0,""
6ad04aa39c57,Fixed worktree file copy on Windows,provisional_match,Workspace Isolation & File-System Operations,0,""
2e2c311055d6,"Added `workspace.git_worktree` to the status line JSON input, set whenever the current directory is inside a linked git worktree",provisional_match,Workspace Isolation & File-System Operations; Terminal Rendering & Display,0,""
749eba6ea7a1,Fixed unbounded memory growth in long sessions by capping file history snapshots,provisional_match,"Resource Monitoring, Observability & Performance; Workspace Isolation & File-System Operations",20,""
9ed5a9172986,Added `ExitWorktree` tool to leave an `EnterWorktree` session,provisional_match,Workspace Isolation & File-System Operations,0,""
5a5ce226b8e0,Fixed screen flashing blank after being idle for a few seconds,provisional_match,Terminal Rendering & Display,26,""
dd8c05e6aadf,MCP tool descriptions and server instructions are now capped at 2KB to prevent OpenAPI-generated servers from bloating context,residual,Maintenance / no conceptual shift,"",""
8bded6a9496f,Added deprecation notification for npm installations - run `claude install` or see https://docs.anthropic.com/en/docs/claude-code/getting-started for more options,residual,Maintenance / no conceptual shift,"",""
89ff8216f883,`/buddy` is here for April 1st — hatch a small creature that watches you code,residual,Maintenance / no conceptual shift,"",""
040875173ff8,[SDK] Changed minimum zod peer dependency to ^4.0.0,residual,Maintenance / no conceptual shift,"",""
e90771e2f508,"Fixed a panic (""switch on corrupted value"") on Windows",residual,Maintenance / no conceptual shift,"",""
2b46267bc1b7,Vim bindings for text input - enable with /vim or /config,residual,Maintenance / no conceptual shift,"",""
a7636d5befa6,IDE: Various improvements and bug fixes,residual,Maintenance / no conceptual shift,"",""
bf3ac60f5d35,Fixed a crash on Node.js 18,residual,Maintenance / no conceptual shift,"",""
4a03282b7b76,Fixed `DISABLE_TELEMETRY` / `CLAUDE_CODE_DISABLE_NONESSENTIAL_TRAFFIC` not suppressing usage metrics telemetry for API and enterprise users,residual,Maintenance / no conceptual shift,"",""
3c2fff2ae133,Fixed `/plugin` uninstall dialog: pressing `n` now correctly uninstalls the plugin while preserving its data directory,residual,Maintenance / no conceptual shift,"",""
cd2f431c675b,Fixed ENAMETOOLONG errors for deeply-nested directory paths,disagreement,Workspace Isolation & File-System Operations,0,""
a7140972b84c,Fixed unnecessary config disk writes on every skill invocation that could cause performance issues and config corruption on Windows,disagreement,Configuration as a Layered Policy Hierarchy,35,""
2c315e33df02,Fixed `--resume` failing on large sessions when a transcript line was corrupted by an unclean shutdown — the corrupt line is now skipped,disagreement,Session Identity & Persistence,25,""
399a8845925a,Fixed unbounded memory growth (10GB+ RSS) when a stdio MCP server writes non-protocol data to stdout,disagreement,"External Connectivity: MCP Servers, Providers & Network Reliability; Resource Monitoring, Observability & Performance",6,""
d439cea167fe,Enhanced /doctor command with CLAUDE.md and MCP tool context for self-serve debugging,disagreement,"Resource Monitoring, Observability & Performance; External Connectivity: MCP Servers, Providers & Network Reliability",20,""
8abcf253ef89,Fixed a bug where duplicate `control_response` messages (e.g. from WebSocket reconnects) could cause API 400 errors by pushing duplicate assistant messages into the conversation.,disagreement,"External Connectivity: MCP Servers, Providers & Network Reliability",6,""
